optimizer,p,m,energy_Hc,success_prob,time_sec,trial
L-BFGS-B,8,2,8.702654513692565e-09,1.0,0.6274402141571045,39
L-BFGS-B,16,2,2.5595800229316623e-08,1.0,1.9998798370361328,39
L-BFGS-B,1,2,0.05995685177624793,0.943359375,0.18262290954589844,40
L-BFGS-B,2,2,2.3811397298345582e-11,1.0,0.5258727073669434,40
L-BFGS-B,4,2,5.37470901118553e-10,1.0,0.34773707389831543,40
L-BFGS-B,8,2,1.328694210211978e-09,1.0,0.7905757427215576,40
L-BFGS-B,16,2,9.432846420631691e-09,1.0,2.4331042766571045,40
L-BFGS-B,1,2,4.9155124415278806e-14,1.0,0.1856245994567871,41
L-BFGS-B,2,2,5.866445385027674e-10,1.0,0.17012310028076172,41
L-BFGS-B,4,2,4.781447043855636e-10,1.0,0.28019213676452637,41
